fpr,tpr,threshold
0.0,0.0,inf
0.0006042296072507553,0.0,0.39932314
0.0018126888217522659,0.0,0.32593757
0.0018126888217522659,0.00851063829787234,0.28539693
0.002416918429003021,0.00851063829787234,0.2834422
0.002416918429003021,0.010638297872340425,0.27890208
0.00906344410876133,0.010638297872340425,0.25652826
0.00906344410876133,0.011702127659574468,0.24257454
0.009667673716012085,0.011702127659574468,0.23573215
0.009667673716012085,0.013829787234042552,0.23015098
0.010876132930513595,0.013829787234042552,0.22884694
0.010876132930513595,0.019148936170212766,0.2204446
0.016918429003021148,0.019148936170212766,0.18208233
0.016918429003021148,0.02021276595744681,0.16724735
0.017522658610271902,0.02021276595744681,0.1668685
0.017522658610271902,0.02446808510638298,0.16333602
0.01812688821752266,0.02446808510638298,0.16231498
0.01812688821752266,0.02872340425531915,0.1603183
0.027190332326283987,0.02872340425531915,0.12256126
0.027190332326283987,0.031914893617021274,0.114147626
0.03202416918429003,0.031914893617021274,0.0996569
0.03202416918429003,0.03297872340425532,0.09909878
0.033836858006042296,0.03297872340425532,0.0987278
0.033836858006042296,0.035106382978723406,0.09724908
0.035045317220543805,0.035106382978723406,0.09384459
0.035045317220543805,0.03723404255319149,0.09072154
0.036858006042296075,0.03723404255319149,0.08527363
0.036858006042296075,0.039361702127659576,0.084690176
0.03746223564954683,0.039361702127659576,0.082400605
0.03746223564954683,0.04042553191489362,0.0820896
0.03867069486404834,0.04042553191489362,0.07920447
0.03867069486404834,0.04148936170212766,0.07893123
0.03987915407854985,0.04148936170212766,0.078661546
0.03987915407854985,0.10319148936170212,0.0750166
0.0404833836858006,0.10319148936170212,0.07500039
0.0404833836858006,0.5010638297872341,0.0715445
0.04108761329305136,0.5010638297872341,0.07154246
0.04108761329305136,0.5478723404255319,0.07122218
0.04169184290030212,0.5478723404255319,0.071218655
0.04169184290030212,0.8872340425531915,0.068046
0.04229607250755287,0.8872340425531915,0.068030335
0.04229607250755287,0.9191489361702128,0.065917
0.042900302114803626,0.9191489361702128,0.06306317
0.042900302114803626,0.9329787234042554,0.059018195
0.044108761329305135,0.9329787234042554,0.058428247
0.044108761329305135,0.9340425531914893,0.058357596
0.045317220543806644,0.9340425531914893,0.05798014
0.045317220543806644,0.9351063829787234,0.057941567
0.05256797583081571,0.9351063829787234,0.057091556
0.05256797583081571,0.9361702127659575,0.05708786
0.05558912386706949,0.9361702127659575,0.05657027
0.05558912386706949,0.9372340425531915,0.05652272
0.056193353474320244,0.9372340425531915,0.0564741
0.056193353474320244,0.9457446808510638,0.055665024
0.056797583081571,0.9457446808510638,0.055220228
0.056797583081571,0.9468085106382979,0.055215914
0.05740181268882175,0.9468085106382979,0.05517631
0.05740181268882175,0.9478723404255319,0.055066865
0.05861027190332326,0.9478723404255319,0.05489298
0.05861027190332326,0.95,0.054693222
0.059214501510574016,0.95,0.054607164
0.059214501510574016,0.9574468085106383,0.05427851
0.05981873111782477,0.9574468085106383,0.05426409
0.05981873111782477,0.9638297872340426,0.05404808
0.06163141993957704,0.9638297872340426,0.05315087
0.06163141993957704,0.9648936170212766,0.053009458
0.06283987915407856,0.9648936170212766,0.052945275
0.06283987915407856,0.9659574468085106,0.052936714
0.06404833836858007,0.9659574468085106,0.052563123
0.06404833836858007,0.9680851063829787,0.05233438
0.06465256797583081,0.9680851063829787,0.052298356
0.06465256797583081,0.9702127659574468,0.05226233
0.06525679758308157,0.9702127659574468,0.052230883
0.06525679758308157,0.9893617021276596,0.05090351
0.06706948640483383,0.9893617021276596,0.050513767
0.06706948640483383,0.9904255319148936,0.05038037
0.06767371601208459,0.9904255319148936,0.050233066
0.06767371601208459,0.9914893617021276,0.050213415
0.07069486404833837,0.9914893617021276,0.050004613
0.07069486404833837,0.9925531914893617,0.04971163
0.11299093655589124,0.9925531914893617,0.045762606
0.11299093655589124,0.9936170212765958,0.04573394
0.17099697885196374,0.9936170212765958,0.040967487
0.17099697885196374,0.9946808510638298,0.040922996
0.2012084592145015,0.9946808510638298,0.039442528
0.2012084592145015,0.9957446808510638,0.039427824
0.2066465256797583,0.9957446808510638,0.03864819
0.2066465256797583,0.9968085106382979,0.038556606
0.21873111782477342,0.9968085106382979,0.037290227
0.21873111782477342,0.997872340425532,0.037252612
0.22054380664652568,0.997872340425532,0.037167776
0.22054380664652568,0.9989361702127659,0.037124045
0.22356495468277945,0.9989361702127659,0.03704572
0.22356495468277945,1.0,0.037009723
1.0,1.0,0.022498105
