Epoch,Train_Loss,Calib_Loss
1,0.23789807714671585,0.09994747500904036
2,0.1332132699654899,0.0991091926384946
3,0.13138991073578055,0.0983588208210843
4,0.13039355709285,0.09818006577982712
5,0.12974369208590295,0.09846757363869117
6,0.12936939662910776,0.09784459360766065
7,0.12913433477778893,0.09859134894048743
8,0.1290476283856715,0.0988202860418017
9,0.12894651905661483,0.09809539779724624
10,0.12887064021718167,0.09856372423704335
11,0.1288057549526678,0.09896552430290916
12,0.12874959880471365,0.09921493147341447
13,0.12866817045919718,0.09800332823967532
14,0.12864752008555996,0.09797259055848502
15,0.12857685518130552,0.09904076686247874
16,0.12851085475486332,0.09720431734831216
17,0.12853527663336534,0.09883312910524938
18,0.12844010931599437,0.09809388288259985
19,0.12843575003403115,0.09737177904770603
20,0.12840224296065234,0.09902481840692226
21,0.12839390882972243,0.09859974360083594
22,0.12835095531582813,0.09905851411773214
23,0.12835356489443642,0.09887123686172693
24,0.12833753761132125,0.09806701936982391
25,0.12831855710548742,0.09747047898509216
26,0.12829894909919823,0.09891649889132642
