Epoch,Train_Loss,Calib_Loss
1,0.04755470507702645,0.004089821555241132
2,0.0038916884598883938,0.0019751577646383916
3,0.00248799316636904,0.0017243395908875774
4,0.0019398053632652843,0.002302055687244796
5,0.00162734956066436,0.0013196833214587787
6,0.0015977862975662946,0.0010951702545427269
7,0.0014643901045419934,0.0010906682182323184
8,0.001366076362659184,0.001301400089262361
9,0.0013798337088645396,0.0014002839670133153
10,0.0014469003861866787,0.0012171824737098518
11,0.0013744271356874152,0.0011712413098556153
12,0.0012247092615015821,0.0010770715646547361
13,0.00131791603920466,0.0011650252460091793
14,0.0013257213401001056,0.0010718520922357595
15,0.001144310901589696,0.0011547882789278365
16,0.0010605781363512898,0.001010283718690869
17,0.0012738723585888085,0.0010418970404003209
18,0.0013634805459496846,0.0010524631759570374
19,0.0010883554159630744,0.0010209314839487668
20,0.0010363647668016846,0.0010655256734022637
21,0.001019029017231259,0.0010456966027918497
22,0.0010111071006079853,0.0026227249880689404
23,0.001018768509995885,0.0011881574475489727
24,0.0010596636728856575,0.0022479318485867108
25,0.0009812956532268395,0.0011188491102068756
26,0.0009402307215110686,0.0010069939517142103
27,0.0009810038758302287,0.0011530856881684368
28,0.000896497943899876,0.0011163871695351979
29,0.0009521360617623944,0.001071706427798971
30,0.0008681831152328025,0.001068467798109878
31,0.0010237911576403292,0.0010530369768419897
32,0.0008338185475576102,0.0010342500264494535
33,0.0009304613721300159,0.0009286906522561858
34,0.0008935600800447275,0.001005595773280436
35,0.0008787152840905794,0.0009897998686427905
36,0.0008441269955234916,0.0010695931534812177
37,0.0008440675852344849,0.0009751511617915717
38,0.001026888961560402,0.0010273344399509628
39,0.0008079810901721953,0.0010672628795608023
40,0.0008277451771417739,0.0010190048936590795
41,0.0008409368891113186,0.0009784102678585388
42,0.0009379372865467805,0.001073169854310159
43,0.0008417973417677131,0.0008981046296817836
44,0.0008171699562688483,0.0009150438685004172
45,0.0007899406618506938,0.0010070136182878779
46,0.0008319624617471917,0.000993744385267309
47,0.0008002862865099271,0.0009705103113651172
48,0.0007771491213380795,0.0009146297015063995
49,0.000928219910778267,0.0009398591970969916
50,0.0009351562137037615,0.0009483533428590067
51,0.0014114201425743276,0.0009607820016146193
52,0.0008404003759463348,0.0010064296125501
53,0.0008296805168747995,0.0011891980331625958
