Epoch,Train_Loss,Calib_Loss
1,0.044079345084519585,0.003658405280645576
2,0.003684393400116998,0.0017736292432963443
3,0.002599387054846417,0.0013918077120732785
4,0.0018838988477769395,0.0012038127342624552
5,0.0016630117430698089,0.0012999441757141706
6,0.0014585798005612896,0.0010472899591033715
7,0.001352581324436939,0.0007994514202467881
8,0.0012972674072559772,0.0009770148169667653
9,0.0012285536582066691,0.0010688622582322512
10,0.0012968379716829582,0.0008107867545875466
11,0.0011887716622572527,0.0007422919626261762
12,0.0011123668605704773,0.0007132267722557074
13,0.0011468206678783553,0.0007502522591691681
14,0.0011089456140558178,0.0008172207848741188
15,0.001009687641486766,0.0009406642037406878
16,0.0010321581327532605,0.0009186967588311302
17,0.0010300060472403112,0.0008719589035210277
18,0.0009865750436636733,0.000900183299982045
19,0.001013777613672433,0.0010231323455360836
20,0.0009408744154685789,0.001026996530830471
21,0.0010048684508944525,0.0009497409716539257
22,0.0009422062013282218,0.0009702668692444833
23,0.0009196828165372648,0.0009199242704771362
24,0.0009017926866912883,0.0008379487898883664
25,0.0009259888372588928,0.000866736274586281
26,0.0011256421230944997,0.000893710329143535
27,0.000921345206213262,0.0009538146002472964
28,0.001063280461981798,0.0008413226993556315
29,0.000918845781185211,0.0009036910368726263
30,0.0011537271869062101,0.0009763078315633858
31,0.0009574014748712001,0.0008840373213608627
32,0.0008696637561108838,0.0008198478772363003
33,0.0008552965482241832,0.0008520111298041806
34,0.0008675077693175163,0.0008664917566322971
35,0.0008844998030542585,0.0007850451941882786
36,0.0008550069109863806,0.000982618753266027
37,0.0008054171141923983,0.000853223309116284
