Epoch,Train_Loss,Calib_Loss
1,0.09394670729030365,0.02741870100633926
2,0.0263049207539367,0.0252171365151603
3,0.02402478913480688,0.023924154251127656
4,0.023257513371792393,0.023251665735326346
5,0.022943013693418696,0.023389475398081255
6,0.0227680188941994,0.023760672838373194
7,0.022585119766483763,0.023313234334549203
8,0.022480491326638905,0.0234753772575265
9,0.022379493014747426,0.023297376310309276
10,0.02241594744789248,0.023571608821937574
11,0.022505672775657713,0.023406942984195333
12,0.022286588588580597,0.023413508653538778
13,0.022217999196660343,0.023350835641185584
14,0.02215411472252887,0.024058490618296586
