Sample,X(ms) [08.12.2025 14:50:47 187 UTC],DB_Measuring.CycleTime_ms
6509,1.76521E+12,30
6510,1.76521E+12,29
6511,1.76521E+12,29
6512,1.76521E+12,30
6513,1.76521E+12,29
6514,1.76521E+12,32
6515,1.76521E+12,28
6516,1.76521E+12,27
6517,1.76521E+12,28
6518,1.76521E+12,28
6519,1.76521E+12,29
6520,1.76521E+12,30
6521,1.76521E+12,29
6522,1.76521E+12,28
6523,1.76521E+12,28
6524,1.76521E+12,28
6525,1.76521E+12,30
6526,1.76521E+12,27
6527,1.76521E+12,28
6528,1.76521E+12,26
6529,1.76521E+12,29
6530,1.76521E+12,27
6531,1.76521E+12,27
6532,1.76521E+12,28
6533,1.76521E+12,27
6534,1.76521E+12,29
6535,1.76521E+12,27
6536,1.76521E+12,27
6537,1.76521E+12,29
6538,1.76521E+12,28
6539,1.76521E+12,29
6540,1.76521E+12,30
6541,1.76521E+12,28
6542,1.76521E+12,26
6543,1.76521E+12,27
6544,1.76521E+12,29
6545,1.76521E+12,28
6546,1.76521E+12,28
6547,1.76521E+12,27
6548,1.76521E+12,30
6549,1.76521E+12,27
6550,1.76521E+12,27
6551,1.76521E+12,28
6552,1.76521E+12,29
6553,1.76521E+12,28
6554,1.76521E+12,27
6555,1.76521E+12,26
6556,1.76521E+12,26
6557,1.76521E+12,26
6558,1.76521E+12,25
6559,1.76521E+12,26
6560,1.76521E+12,27
6561,1.76521E+12,29
6562,1.76521E+12,30
6563,1.76521E+12,27
6564,1.76521E+12,27
6565,1.76521E+12,28
6566,1.76521E+12,27
6567,1.76521E+12,25
6568,1.76521E+12,26
6569,1.76521E+12,26
6570,1.76521E+12,26
6571,1.76521E+12,28
6572,1.76521E+12,26
6573,1.76521E+12,31
6574,1.76521E+12,26
6575,1.76521E+12,29
6576,1.76521E+12,30
6577,1.76521E+12,29
6578,1.76521E+12,28
6579,1.76521E+12,26
6580,1.76521E+12,26
6581,1.76521E+12,27
6582,1.76521E+12,27
6583,1.76521E+12,27
6584,1.76521E+12,28
6585,1.76521E+12,27
6586,1.76521E+12,28
6587,1.76521E+12,29
6588,1.76521E+12,29
6589,1.76521E+12,28
6590,1.76521E+12,30
6591,1.76521E+12,26
6592,1.76521E+12,27
6593,1.76521E+12,26
6594,1.76521E+12,27
6595,1.76521E+12,28
6596,1.76521E+12,26
6597,1.76521E+12,26
6598,1.76521E+12,27
6599,1.76521E+12,27
6600,1.76521E+12,26
6601,1.76521E+12,30
6602,1.76521E+12,26
6603,1.76521E+12,27
6604,1.76521E+12,29
6605,1.76521E+12,28
6606,1.76521E+12,27
6607,1.76521E+12,27
6608,1.76521E+12,26
6609,1.76521E+12,26
6610,1.76521E+12,28
6611,1.76521E+12,27
6612,1.76521E+12,28
6613,1.76521E+12,27
6614,1.76521E+12,26
6615,1.76521E+12,29
6616,1.76521E+12,28
6617,1.76521E+12,25
6618,1.76521E+12,26
6619,1.76521E+12,28
6620,1.76521E+12,26
6621,1.76521E+12,25
6622,1.76521E+12,26
6623,1.76521E+12,27
6624,1.76521E+12,29
6625,1.76521E+12,28
6626,1.76521E+12,29
6627,1.76521E+12,28
6628,1.76521E+12,26
6629,1.76521E+12,25
6630,1.76521E+12,27
6631,1.76521E+12,28
6632,1.76521E+12,28
6633,1.76521E+12,27
6634,1.76521E+12,26
6635,1.76521E+12,26
6636,1.76521E+12,27
6637,1.76521E+12,26
6638,1.76521E+12,26
6639,1.76521E+12,27
6640,1.76521E+12,28
6641,1.76521E+12,28
6642,1.76521E+12,29
6643,1.76521E+12,25
6644,1.76521E+12,26
6645,1.76521E+12,27
6646,1.76521E+12,27
6647,1.76521E+12,26
6648,1.76521E+12,29
6649,1.76521E+12,28
6650,1.76521E+12,26
6651,1.76521E+12,26
6652,1.76521E+12,26
6653,1.76521E+12,30
6654,1.76521E+12,26
6655,1.76521E+12,27
6656,1.76521E+12,29
6657,1.76521E+12,27
6658,1.76521E+12,28
6659,1.76521E+12,30
6660,1.76521E+12,34
6661,1.76521E+12,31
6662,1.76521E+12,29
6663,1.76521E+12,31
6664,1.76521E+12,31
6665,1.76521E+12,31
6666,1.76521E+12,30
6667,1.76521E+12,29
6668,1.76521E+12,29
6669,1.76521E+12,30
6670,1.76521E+12,34
6671,1.76521E+12,30
6672,1.76521E+12,31
6673,1.76521E+12,33
6674,1.76521E+12,31
6675,1.76521E+12,31
6676,1.76521E+12,33
6677,1.76521E+12,29
6678,1.76521E+12,27
6679,1.76521E+12,28
6680,1.76521E+12,27
6681,1.76521E+12,26
6682,1.76521E+12,29
6683,1.76521E+12,29
6684,1.76521E+12,29
6685,1.76521E+12,26
6686,1.76521E+12,26
6687,1.76521E+12,27
6688,1.76521E+12,26
6689,1.76521E+12,26
6690,1.76521E+12,27
6691,1.76521E+12,26
6692,1.76521E+12,27
6693,1.76521E+12,28
6694,1.76521E+12,28
6695,1.76521E+12,27
6696,1.76521E+12,29
6697,1.76521E+12,29
6698,1.76521E+12,28
6699,1.76521E+12,28
6700,1.76521E+12,28
6701,1.76521E+12,26
6702,1.76521E+12,26
6703,1.76521E+12,27
6704,1.76521E+12,26
6705,1.76521E+12,27
6706,1.76521E+12,29
6707,1.76521E+12,26
6708,1.76521E+12,26
6709,1.76521E+12,27
6710,1.76521E+12,28
6711,1.76521E+12,30
6712,1.76521E+12,28
6713,1.76521E+12,27
6714,1.76521E+12,30
6715,1.76521E+12,28
6716,1.76521E+12,26
6717,1.76521E+12,27
6718,1.76521E+12,28
6719,1.76521E+12,27
6720,1.76521E+12,26
6721,1.76521E+12,28
6722,1.76521E+12,28
6723,1.76521E+12,26
6724,1.76521E+12,29
6725,1.76521E+12,28
6726,1.76521E+12,29
6727,1.76521E+12,27
6728,1.76521E+12,26
6729,1.76521E+12,28
6730,1.76521E+12,27
6731,1.76521E+12,28
6732,1.76521E+12,30
6733,1.76521E+12,29
6734,1.76521E+12,28
6735,1.76521E+12,29
6736,1.76521E+12,30
6737,1.76521E+12,27
6738,1.76521E+12,27
6739,1.76521E+12,29
6740,1.76521E+12,28
6741,1.76521E+12,28
6742,1.76521E+12,27
6743,1.76521E+12,28
6744,1.76521E+12,28
6745,1.76521E+12,25
6746,1.76521E+12,29
6747,1.76521E+12,29
6748,1.76521E+12,25
6749,1.76521E+12,27
6750,1.76521E+12,26
6751,1.76521E+12,26
6752,1.76521E+12,26
6753,1.76521E+12,28
6754,1.76521E+12,26
6755,1.76521E+12,27
6756,1.76521E+12,29
6757,1.76521E+12,27
6758,1.76521E+12,27
6759,1.76521E+12,28
6760,1.76521E+12,27
6761,1.76521E+12,28
6762,1.76521E+12,28
6763,1.76521E+12,27
6764,1.76521E+12,30
6765,1.76521E+12,27
6766,1.76521E+12,27
6767,1.76521E+12,28
6768,1.76521E+12,29
6769,1.76521E+12,26
6770,1.76521E+12,28
6771,1.76521E+12,27
6772,1.76521E+12,29
6773,1.76521E+12,28
6774,1.76521E+12,26
6775,1.76521E+12,27
6776,1.76521E+12,28
6777,1.76521E+12,29
6778,1.76521E+12,26
6779,1.76521E+12,26
6780,1.76521E+12,28
6781,1.76521E+12,28
6782,1.76521E+12,29
6783,1.76521E+12,29
6784,1.76521E+12,27
6785,1.76521E+12,26
6786,1.76521E+12,27
6787,1.76521E+12,26
6788,1.76521E+12,27
6789,1.76521E+12,26
6790,1.76521E+12,27
6791,1.76521E+12,27
6792,1.76521E+12,28
6793,1.76521E+12,28
6794,1.76521E+12,31
6795,1.76521E+12,27
6796,1.76521E+12,28
6797,1.76521E+12,29
