Sample,X(ms) [08.01.2012 05:04:10 677 UTC],DB_Measuring.CycleTime_ms
7147,1.326E+12,24
7148,1.326E+12,25
7149,1.326E+12,20
7150,1.326E+12,20
7151,1.326E+12,30
7152,1.326E+12,21
7153,1.326E+12,26
7154,1.326E+12,29
7155,1.326E+12,22
7156,1.326E+12,21
7157,1.326E+12,29
7158,1.326E+12,24
7159,1.326E+12,25
7160,1.326E+12,30
7161,1.326E+12,20
7162,1.326E+12,20
7163,1.326E+12,28
7164,1.326E+12,24
7165,1.326E+12,21
7166,1.326E+12,21
7167,1.326E+12,28
7168,1.326E+12,20
7169,1.326E+12,20
7170,1.326E+12,20
7171,1.326E+12,31
7172,1.326E+12,20
7173,1.326E+12,33
7174,1.326E+12,21
7175,1.326E+12,20
7176,1.326E+12,28
7177,1.326E+12,23
7178,1.326E+12,20
7179,1.326E+12,21
7180,1.326E+12,28
7181,1.326E+12,20
7182,1.326E+12,20
7183,1.326E+12,20
7184,1.326E+12,30
7185,1.326E+12,20
7186,1.326E+12,21
7187,1.326E+12,21
7188,1.326E+12,31
7189,1.326E+12,20
7190,1.326E+12,20
7191,1.326E+12,23
7192,1.326E+12,28
7193,1.326E+12,20
7194,1.326E+12,21
7195,1.326E+12,23
7196,1.326E+12,25
7197,1.326E+12,20
7198,1.326E+12,20
7199,1.326E+12,30
7200,1.326E+12,21
7201,1.326E+12,22
7202,1.326E+12,32
7203,1.326E+12,20
7204,1.326E+12,20
7205,1.326E+12,20
7206,1.326E+12,28
7207,1.326E+12,23
7208,1.326E+12,22
7209,1.326E+12,30
7210,1.326E+12,20
7211,1.326E+12,20
7212,1.326E+12,28
7213,1.326E+12,23
7214,1.326E+12,21
7215,1.326E+12,21
7216,1.326E+12,32
7217,1.326E+12,21
7218,1.326E+12,20
7219,1.326E+12,26
7220,1.326E+12,25
7221,1.326E+12,22
7222,1.326E+12,20
7223,1.326E+12,28
7224,1.326E+12,20
7225,1.326E+12,23
7226,1.326E+12,29
7227,1.326E+12,21
7228,1.326E+12,20
7229,1.326E+12,31
7230,1.326E+12,23
7231,1.326E+12,22
7232,1.326E+12,37
7233,1.326E+12,24
7234,1.326E+12,20
7235,1.326E+12,28
7236,1.326E+12,20
7237,1.326E+12,20
7238,1.326E+12,43
7239,1.326E+12,21
7240,1.326E+12,49
7241,1.326E+12,27
7242,1.326E+12,28
7243,1.326E+12,20
7244,1.326E+12,20
7245,1.326E+12,20
7246,1.326E+12,28
7247,1.326E+12,20
7248,1.326E+12,23
7249,1.326E+12,29
7250,1.326E+12,21
7251,1.326E+12,20
7252,1.326E+12,28
7253,1.326E+12,20
7254,1.326E+12,20
7255,1.326E+12,35
7256,1.326E+12,21
7257,1.326E+12,21
7258,1.326E+12,30
7259,1.326E+12,21
7260,1.326E+12,20
7261,1.326E+12,32
7262,1.326E+12,21
7263,1.326E+12,21
7264,1.326E+12,29
7265,1.326E+12,20
7266,1.326E+12,20
7267,1.326E+12,20
7268,1.326E+12,29
7269,1.326E+12,27
7270,1.326E+12,21
7271,1.326E+12,20
7272,1.326E+12,28
7273,1.326E+12,20
7274,1.326E+12,23
7275,1.326E+12,30
7276,1.326E+12,21
7277,1.326E+12,20
7278,1.326E+12,20
7279,1.326E+12,28
7280,1.326E+12,20
7281,1.326E+12,20
7282,1.326E+12,35
7283,1.326E+12,21
7284,1.326E+12,20
7285,1.326E+12,20
7286,1.326E+12,28
7287,1.326E+12,20
7288,1.326E+12,20
7289,1.326E+12,20
7290,1.326E+12,31
7291,1.326E+12,20
7292,1.326E+12,21
7293,1.326E+12,28
7294,1.326E+12,20
7295,1.326E+12,20
7296,1.326E+12,31
7297,1.326E+12,20
7298,1.326E+12,23
7299,1.326E+12,29
7300,1.326E+12,20
7301,1.326E+12,20
7302,1.326E+12,20
7303,1.326E+12,28
7304,1.326E+12,23
7305,1.326E+12,21
7306,1.326E+12,27
7307,1.326E+12,21
7308,1.326E+12,20
7309,1.326E+12,20
7310,1.326E+12,21
7311,1.326E+12,36
7312,1.326E+12,24
7313,1.326E+12,21
7314,1.326E+12,29
7315,1.326E+12,20
7316,1.326E+12,20
7317,1.326E+12,20
7318,1.326E+12,31
7319,1.326E+12,21
7320,1.326E+12,21
7321,1.326E+12,20
7322,1.326E+12,28
7323,1.326E+12,20
7324,1.326E+12,20
7325,1.326E+12,24
7326,1.326E+12,31
7327,1.326E+12,21
7328,1.326E+12,21
7329,1.326E+12,20
7330,1.326E+12,28
7331,1.326E+12,20
7332,1.326E+12,23
7333,1.326E+12,28
7334,1.326E+12,21
7335,1.326E+12,20
7336,1.326E+12,28
7337,1.326E+12,20
7338,1.326E+12,20
7339,1.326E+12,35
7340,1.326E+12,22
7341,1.326E+12,20
7342,1.326E+12,28
7343,1.326E+12,20
7344,1.326E+12,20
7345,1.326E+12,26
7346,1.326E+12,25
7347,1.326E+12,21
7348,1.326E+12,20
7349,1.326E+12,28
7350,1.326E+12,21
7351,1.326E+12,20
7352,1.326E+12,31
7353,1.326E+12,26
7354,1.326E+12,21
7355,1.326E+12,20
7356,1.326E+12,28
7357,1.326E+12,20
7358,1.326E+12,28
7359,1.326E+12,23
7360,1.326E+12,21
7361,1.326E+12,20
7362,1.326E+12,30
7363,1.326E+12,20
7364,1.326E+12,21
7365,1.326E+12,25
7366,1.326E+12,32
7367,1.326E+12,21
7368,1.326E+12,25
7369,1.326E+12,24
7370,1.326E+12,20
7371,1.326E+12,20
7372,1.326E+12,31
7373,1.326E+12,21
7374,1.326E+12,21
7375,1.326E+12,21
7376,1.326E+12,27
7377,1.326E+12,20
7378,1.326E+12,20
7379,1.326E+12,31
7380,1.326E+12,25
7381,1.326E+12,29
7382,1.326E+12,20
7383,1.326E+12,20
7384,1.326E+12,20
7385,1.326E+12,31
7386,1.326E+12,21
7387,1.326E+12,22
7388,1.326E+12,28
7389,1.326E+12,20
7390,1.326E+12,20
7391,1.326E+12,20
7392,1.326E+12,31
7393,1.326E+12,24
7394,1.326E+12,21
7395,1.326E+12,25
7396,1.326E+12,23
7397,1.326E+12,20
7398,1.326E+12,20
7399,1.326E+12,31
7400,1.326E+12,20
7401,1.326E+12,21
7402,1.326E+12,20
7403,1.326E+12,28
7404,1.326E+12,20
7405,1.326E+12,23
7406,1.326E+12,29
7407,1.326E+12,25
7408,1.326E+12,28
7409,1.326E+12,20
7410,1.326E+12,20
7411,1.326E+12,20
7412,1.326E+12,30
7413,1.326E+12,20
7414,1.326E+12,23
7415,1.326E+12,29
7416,1.326E+12,20
7417,1.326E+12,20
7418,1.326E+12,31
7419,1.326E+12,22
7420,1.326E+12,25
7421,1.326E+12,28
7422,1.326E+12,20
7423,1.326E+12,20
7424,1.326E+12,29
7425,1.326E+12,25
7426,1.326E+12,20
7427,1.326E+12,28
7428,1.326E+12,20
7429,1.326E+12,20
7430,1.326E+12,20
7431,1.326E+12,27
7432,1.326E+12,20
7433,1.326E+12,28
7434,1.326E+12,20
7435,1.326E+12,21
7436,1.326E+12,28
7437,1.326E+12,20
7438,1.326E+12,20
7439,1.326E+12,20
7440,1.326E+12,31
7441,1.326E+12,20
7442,1.326E+12,21
7443,1.326E+12,25
7444,1.326E+12,23
7445,1.326E+12,20
7446,1.326E+12,20
7447,1.326E+12,33
7448,1.326E+12,22
7449,1.326E+12,21
7450,1.326E+12,23
7451,1.326E+12,25
7452,1.326E+12,20
7453,1.326E+12,20
7454,1.326E+12,31
7455,1.326E+12,20
7456,1.326E+12,21
7457,1.326E+12,28
7458,1.326E+12,20
7459,1.326E+12,19
7460,1.326E+12,20
7461,1.326E+12,35
7462,1.326E+12,21
7463,1.326E+12,27
7464,1.326E+12,23
7465,1.326E+12,20
7466,1.326E+12,21
7467,1.326E+12,28
7468,1.326E+12,23
7469,1.326E+12,22
7470,1.326E+12,30
7471,1.326E+12,20
7472,1.326E+12,20
7473,1.326E+12,28
7474,1.326E+12,23
7475,1.326E+12,25
7476,1.326E+12,28
7477,1.326E+12,20
7478,1.326E+12,20
7479,1.326E+12,22
7480,1.326E+12,25
7481,1.326E+12,22
7482,1.326E+12,21
7483,1.326E+12,29
7484,1.326E+12,20
7485,1.326E+12,20
7486,1.326E+12,20
7487,1.326E+12,31
7488,1.326E+12,21
7489,1.326E+12,33
7490,1.326E+12,20
7491,1.326E+12,20
7492,1.326E+12,20
7493,1.326E+12,30
7494,1.326E+12,21
7495,1.326E+12,22
7496,1.326E+12,27
7497,1.326E+12,21
7498,1.326E+12,20
7499,1.326E+12,20
7500,1.326E+12,33
7501,1.326E+12,20
7502,1.326E+12,25
7503,1.326E+12,28
7504,1.326E+12,20
7505,1.326E+12,20
7506,1.326E+12,28
7507,1.326E+12,23
7508,1.326E+12,24
7509,1.326E+12,25
7510,1.326E+12,20
7511,1.326E+12,20
7512,1.326E+12,28
7513,1.326E+12,20
7514,1.326E+12,22
7515,1.326E+12,33
7516,1.326E+12,21
7517,1.326E+12,20
7518,1.326E+12,30
7519,1.326E+12,21
7520,1.326E+12,21
7521,1.326E+12,32
7522,1.326E+12,21
7523,1.326E+12,21
7524,1.326E+12,24
7525,1.326E+12,24
7526,1.326E+12,20
7527,1.326E+12,22
7528,1.326E+12,22
7529,1.326E+12,32
7530,1.326E+12,20
7531,1.326E+12,20
7532,1.326E+12,28
7533,1.326E+12,22
7534,1.326E+12,21
7535,1.326E+12,29
7536,1.326E+12,20
7537,1.326E+12,20
7538,1.326E+12,21
7539,1.326E+12,31
7540,1.326E+12,21
7541,1.326E+12,21
7542,1.326E+12,25
7543,1.326E+12,27
7544,1.326E+12,20
7545,1.326E+12,29
7546,1.326E+12,22
7547,1.326E+12,21
7548,1.326E+12,20
7549,1.326E+12,28
7550,1.326E+12,20
7551,1.326E+12,20
7552,1.326E+12,20
7553,1.326E+12,29
7554,1.326E+12,23
7555,1.326E+12,20
7556,1.326E+12,20
7557,1.326E+12,29
7558,1.326E+12,23
7559,1.326E+12,20
7560,1.326E+12,22
7561,1.326E+12,29
7562,1.326E+12,21
7563,1.326E+12,20
7564,1.326E+12,20
7565,1.326E+12,28
7566,1.326E+12,22
7567,1.326E+12,20
7568,1.326E+12,29
7569,1.326E+12,20
7570,1.326E+12,21
7571,1.326E+12,20
7572,1.326E+12,30
7573,1.326E+12,26
7574,1.326E+12,21
7575,1.326E+12,20
7576,1.326E+12,30
7577,1.326E+12,20
7578,1.326E+12,20
7579,1.326E+12,31
7580,1.326E+12,21
7581,1.326E+12,20
7582,1.326E+12,27
7583,1.326E+12,20
7584,1.326E+12,20
7585,1.326E+12,20
7586,1.326E+12,27
7587,1.326E+12,21
7588,1.326E+12,29
7589,1.326E+12,20
7590,1.326E+12,20
7591,1.326E+12,20
7592,1.326E+12,21
7593,1.326E+12,30
7594,1.326E+12,21
7595,1.326E+12,21
7596,1.326E+12,28
7597,1.326E+12,20
7598,1.326E+12,20
7599,1.326E+12,32
7600,1.326E+12,24
7601,1.326E+12,29
7602,1.326E+12,20
7603,1.326E+12,20
7604,1.326E+12,20
7605,1.326E+12,28
7606,1.326E+12,22
7607,1.326E+12,21
7608,1.326E+12,23
7609,1.326E+12,25
7610,1.326E+12,20
7611,1.326E+12,20
7612,1.326E+12,28
7613,1.326E+12,27
7614,1.326E+12,30
7615,1.326E+12,21
7616,1.326E+12,20
7617,1.326E+12,24
7618,1.326E+12,24
7619,1.326E+12,20
7620,1.326E+12,23
7621,1.326E+12,29
7622,1.326E+12,22
7623,1.326E+12,20
7624,1.326E+12,29
7625,1.326E+12,20
7626,1.326E+12,24
7627,1.326E+12,20
7628,1.326E+12,31
7629,1.326E+12,21
7630,1.326E+12,22
7631,1.326E+12,28
7632,1.326E+12,20
7633,1.326E+12,20
7634,1.326E+12,21
7635,1.326E+12,29
7636,1.326E+12,21
7637,1.326E+12,20
7638,1.326E+12,28
7639,1.326E+12,24
7640,1.326E+12,22
7641,1.326E+12,29
7642,1.326E+12,21
7643,1.326E+12,20
7644,1.326E+12,27
7645,1.326E+12,21
7646,1.326E+12,20
7647,1.326E+12,25
7648,1.326E+12,27
7649,1.326E+12,21
7650,1.326E+12,28
7651,1.326E+12,21
7652,1.326E+12,21
7653,1.326E+12,33
7654,1.326E+12,21
7655,1.326E+12,21
7656,1.326E+12,26
7657,1.326E+12,23
7658,1.326E+12,20
7659,1.326E+12,20
7660,1.326E+12,28
7661,1.326E+12,22
7662,1.326E+12,27
7663,1.326E+12,23
7664,1.326E+12,20
7665,1.326E+12,20
7666,1.326E+12,32
7667,1.326E+12,20
7668,1.326E+12,23
7669,1.326E+12,30
7670,1.326E+12,23
7671,1.326E+12,20
7672,1.326E+12,28
7673,1.326E+12,20
7674,1.326E+12,20
7675,1.326E+12,21
7676,1.326E+12,31
7677,1.326E+12,20
7678,1.326E+12,21
7679,1.326E+12,28
